MMWRyear,MMWRweek,MMWRday,region,establishments,visits
2020,5,6,VT,1002,7032
2020,5,6,WA,10257,104451
2020,5,6,WI,8551,101575
2020,5,6,WV,1883,26030
2020,5,6,WY,756,6778
2020,5,7,AK,925,5079
2020,5,7,AL,5386,127027
2020,5,7,AR,3262,60921
2020,5,7,AZ,7713,108879
2020,5,7,CA,57668,539395
2020,5,7,CO,7711,87408
2020,5,7,CT,5772,49173
2020,5,7,DC,1799,22999
2020,5,7,DE,1370,13292
2020,5,7,FL,28209,436566
2020,5,7,GA,13048,233396
2020,5,7,HI,2624,27487
2020,5,7,IA,4010,63754
2020,5,7,ID,2109,20179
2020,5,7,IL,17790,227576
2020,5,7,IN,7429,112513
2020,5,7,KS,3129,54905
2020,5,7,KY,4231,73058
2020,5,7,LA,5779,104389
2020,5,7,MA,10453,90715
2020,5,7,MD,7078,90087
2020,5,7,ME,2061,12747
2020,5,7,MI,11560,148261
2020,5,7,MN,5733,84490
2020,5,7,MO,6950,126928
2020,5,7,MS,3127,67027
2020,5,7,MT,1466,8884
2020,5,7,NC,12317,199988
2020,5,7,ND,869,11777
2020,5,7,NE,2318,37126
2020,5,7,NH,1926,18580
2020,5,7,NJ,15391,177621
2020,5,7,NM,2450,23748
2020,5,7,NV,3454,58884
2020,5,7,NY,35047,392884
2020,5,7,OH,13658,201427
2020,5,7,OK,4502,92057
2020,5,7,OR,7220,57274
2020,5,7,PA,18113,201364
2020,5,7,RI,1946,16809
2020,5,7,SC,6732,107813
2020,5,7,SD,1025,12943
2020,5,7,TN,8031,151668
2020,5,7,TX,35965,678172
2020,5,7,UT,3126,37305
2020,5,7,VA,9933,127068
2020,5,7,VT,1002,8008
2020,5,7,WA,10257,90353
2020,5,7,WI,8551,102587
2020,5,7,WV,1883,24608
2020,5,7,WY,756,5594
2020,6,1,AK,925,3078
2020,6,1,AL,5386,81759
2020,6,1,AR,3262,34195
2020,6,1,AZ,7713,62955
2020,6,1,CA,57668,342956
2020,6,1,CO,7711,52779
2020,6,1,CT,5772,29137
2020,6,1,DC,1799,15408
2020,6,1,DE,1370,7731
2020,6,1,FL,28209,285595
2020,6,1,GA,13048,145953
2020,6,1,HI,2624,19175
2020,6,1,IA,4010,30773
2020,6,1,ID,2109,9145
2020,6,1,IL,17790,139719
2020,6,1,IN,7429,62396
2020,6,1,KS,3129,26391
2020,6,1,KY,4231,43689
2020,6,1,LA,5779,57847
2020,6,1,MA,10453,56671
2020,6,1,MD,7078,54573
2020,6,1,ME,2061,7135
2020,6,1,MI,11560,84127
