STATE,REPORTDATE,cases,deaths,MMWRyear,MMWRweek,MMWRday
South Dakota,3/3/20,0,0,2020,10,3
Tennessee,3/3/20,0,0,2020,10,3
Texas,3/3/20,0,0,2020,10,3
Utah,3/3/20,0,0,2020,10,3
Virgin Islands,3/3/20,,,2020,10,3
Vermont,3/3/20,0,0,2020,10,3
Wisconsin,3/3/20,0,0,2020,10,3
West Virginia,3/3/20,0,0,2020,10,3
Wyoming,3/3/20,0,0,2020,10,3
Arizona,3/4/20,0,0,2020,10,4
California,3/4/20,7,0,2020,10,4
Florida,3/4/20,4,0,2020,10,4
Georgia,3/4/20,0,0,2020,10,4
Illinois,3/4/20,0,0,2020,10,4
Massachusetts,3/4/20,3,0,2020,10,4
Michigan,3/4/20,0,0,2020,10,4
North Carolina,3/4/20,0,0,2020,10,4
New Hampshire,3/4/20,0,0,2020,10,4
New Jersey,3/4/20,1,0,2020,10,4
New York,3/4/20,2,0,2020,10,4
Oregon,3/4/20,0,0,2020,10,4
Rhode Island,3/4/20,0,0,2020,10,4
South Carolina,3/4/20,0,0,2020,10,4
Texas,3/4/20,0,0,2020,10,4
Virginia,3/4/20,0,0,2020,10,4
Washington,3/4/20,79,14,2020,10,4
Wisconsin,3/4/20,0,0,2020,10,4
Alaska,3/4/20,0,0,2020,10,4
Alabama,3/4/20,0,0,2020,10,4
Arkansas,3/4/20,,,2020,10,4
Colorado,3/4/20,0,0,2020,10,4
Connecticut,3/4/20,0,0,2020,10,4
District of Columbia,3/4/20,0,0,2020,10,4
Delaware,3/4/20,0,0,2020,10,4
Guam,3/4/20,,,2020,10,4
Hawaii,3/4/20,0,0,2020,10,4
Iowa,3/4/20,0,0,2020,10,4
Idaho,3/4/20,0,0,2020,10,4
Indiana,3/4/20,0,0,2020,10,4
Kansas,3/4/20,0,0,2020,10,4
Kentucky,3/4/20,0,0,2020,10,4
Louisiana,3/4/20,0,0,2020,10,4
Maryland,3/4/20,0,0,2020,10,4
Maine,3/4/20,0,0,2020,10,4
Minnesota,3/4/20,0,0,2020,10,4
Missouri,3/4/20,0,0,2020,10,4
Mississippi,3/4/20,0,0,2020,10,4
Montana,3/4/20,0,0,2020,10,4
North Dakota,3/4/20,0,0,2020,10,4
Nebraska,3/4/20,0,0,2020,10,4
New Mexico,3/4/20,0,0,2020,10,4
Nevada,3/4/20,1,0,2020,10,4
Ohio,3/4/20,0,0,2020,10,4
Oklahoma,3/4/20,0,0,2020,10,4
Pennsylvania,3/4/20,0,0,2020,10,4
Puerto Rico,3/4/20,,,2020,10,4
South Dakota,3/4/20,0,0,2020,10,4
Tennessee,3/4/20,0,0,2020,10,4
Utah,3/4/20,0,0,2020,10,4
Virgin Islands,3/4/20,,,2020,10,4
Vermont,3/4/20,0,0,2020,10,4
West Virginia,3/4/20,0,0,2020,10,4
Wyoming,3/4/20,0,0,2020,10,4
Arizona,3/5/20,0,0,2020,10,5
California,3/5/20,10,0,2020,10,5
Colorado,3/5/20,8,0,2020,10,5
District of Columbia,3/5/20,0,0,2020,10,5
Florida,3/5/20,2,0,2020,10,5
Georgia,3/5/20,1,0,2020,10,5
Illinois,3/5/20,1,0,2020,10,5
Massachusetts,3/5/20,11,0,2020,10,5
Maryland,3/5/20,3,0,2020,10,5
Michigan,3/5/20,0,0,2020,10,5
North Carolina,3/5/20,0,0,2020,10,5
Nebraska,3/5/20,0,0,2020,10,5
New Hampshire,3/5/20,0,0,2020,10,5
New Jersey,3/5/20,1,0,2020,10,5
Nevada,3/5/20,2,0,2020,10,5
New York,3/5/20,22,0,2020,10,5
Ohio,3/5/20,0,0,2020,10,5
Oregon,3/5/20,3,0,2020,10,5
Rhode Island,3/5/20,1,0,2020,10,5
South Carolina,3/5/20,0,0,2020,10,5
Tennessee,3/5/20,1,0,2020,10,5
Texas,3/5/20,0,0,2020,10,5
Virginia,3/5/20,0,0,2020,10,5
Washington,3/5/20,89,8,2020,10,5
Wisconsin,3/5/20,0,0,2020,10,5
Alaska,3/5/20,0,0,2020,10,5
Alabama,3/5/20,0,0,2020,10,5
Arkansas,3/5/20,,,2020,10,5
Connecticut,3/5/20,0,0,2020,10,5
Delaware,3/5/20,0,0,2020,10,5
Guam,3/5/20,,,2020,10,5
Hawaii,3/5/20,0,0,2020,10,5
Iowa,3/5/20,0,0,2020,10,5
Idaho,3/5/20,0,0,2020,10,5
Indiana,3/5/20,0,0,2020,10,5
Kansas,3/5/20,0,0,2020,10,5
Kentucky,3/5/20,0,0,2020,10,5
Louisiana,3/5/20,0,0,2020,10,5
Maine,3/5/20,0,0,2020,10,5
